ID;CERVEZA;NOTA DE CATA;SABOR;PUNTOS;FECHA
82;Argus Reserva 1844;Entre rubia y tostada. Sabor fuertecillo. Aunque no pega o eso me pareció.;Regular;3;2020-11-01
83;Bock Damm;Negra rica a lo Guinness. Buena espuma.;Bueno;8;2020-07-16
84;Warsteiner Premium Beer;Rubia blanda alemana, un poco seca amarga.;Regular;4;2020-07-19
85;Cusqueña Negra;Negra dulzarrona. Extraña. No me gusta.;Malo;1;2022-02-01
86;Presidente;Rubia decente, cuerpo, sabor, alegria, no hincha. Poco gas.;Aceptable;5;2020-07-27
87;Dos Equis Lager;Floja y aguada con una pizca de ánima.;Regular;3;2020-07-28
88;Founders All Day IPA;Toque naranja amarga. OK.;Aceptable;6;2020-08-05
89;Brooklyn Lager;Toque cítrico. Pega un poco. Ok.;Aceptable;6;2020-08-07
90;Cusqueña Dorada;Correcta, regusto seco, gas ok, olor un poco raro.;Aceptable;5;2020-08-09
91;Club Colombia Dorada;No tan seca pero bien, decente. Poca ánima.;Aceptable;5;2020-08-11
92;Spaten Münchner Hell ;Ok.;Aceptable;6;2020-08-13
93;Altvater Weissbierbock;Trigo contundente (con cebada). Cuerpo, sabor, llena, rica. Bien.;Bueno;7;2020-08-14
94;Amstel Oro;Tostada, caramelo, nada especial.;Regular;4;2020-08-18
95;La Salve Munich;Tostada, bonito color, pega.;Bueno;7;2020-08-20
96;Oro Bilbao;Muy equilibrada, cuerpo, color,sabor, amargor, ánima. Me llama la atencion.;Bueno;8;2020-08-21
97;Mort Subite Kriek Lambic;Cerezas.;Aceptable;6;2020-08-23
98;Chang Classic;Rubia seca y gaseosa. Se deja beber. El vidrio más pesado que he visto (1/3).;Aceptable;5;2020-09-08
99;Sandels 5.3%;Rubia correcta pero no destaca en nada.;Regular;4;2020-09-09
100;O'Hara's Irish Red;Curiosa malta caramelizada.;Bueno;7;
101;O'Hara's Irish Stout;Negra con sabor a café y toques de carbón. Poca ánima.;Aceptable;6;
102;12·70 Lager;Tostada rica sin espuma.;Bueno;7;
103;Chimay Bleue;Un filete batido. Rico pero contundente.;Bueno;7;2020-09-01
104;Erdinger Weissbier;Trigo ácido.;Regular;4;2020-09-21
105;Bischofshof Hefe-Weissbier Dunkel;Trigo negro. Espumosa y sosa.;Regular;3;
106;Cumberland Golden Beer;Rubia ni buena ni mala…Algo plana con poca pegada 4%.;Regular;4;
107;Hobgoblin Ruby;Tostada normal. Ánima buena aunque son 50cl.;Aceptable;5;
108;McEwan's Levy;Negra suave. Café apetecible.;Bueno;7;
109;Razorback;Sabe a madera.;Malo;2;
110;Pedigree;Poca espuma. Tostada color marrón claro bonito. No hay mucho que decir.;Regular;3;2020-10-01
111;Lancaster Bomber;Cítrica amarga, tostada, bonito color. Se puede beber.;Regular;4;
112;Ambar 1900;Cumple lo prometido en la etiqueta (suave, clara, refrescante).;Bueno;7;2022-03-01
113;Alhambra Especial;Rubia rica dentro de un estándar.;Aceptable;6;2020-10-01
114;Grimbergen Belgian Pale Ale;Espuma nata, toque cítrico. Entra bien, huele bien.;Bueno;7;2023-02-10
115;The Brale;Normalita. Amarga con una pizca de naranja.;Regular;4;2020-11-01
116;San Miguel Magna;Rubia con algo más de cuerpo de lo normal. ;Aceptable;5;2020-11-01
117;Desperados Ginger;Se bebe muy rápido pero apenas deja regusto. Quizá un toque amargo especial. ;Regular;3;2020-11-01
118;Especialidades 1897 Trigo;Me gusta, de trigo con cuerpo fuerte aunque olor no muy allá.;Aceptable ;6;2020-11-01
119;Camaro;Agua de Lidl con aditivos. ;Malo;0;2020-12-01
120;Ambar Export;Tres maltas que parecen una.;Regular;3;2023-06-17
121;La Sagra Calabaza y Canela;Roja suave. Apenás hay espuma ¿la habré tirado bien? Flojilla para ser roja. Poca ánima.;Regular;3;2020-12-01
122;Carlsberg;Cerveza de verano. Un poco de chispa.;Aceptable;5;2020-12-01
123;Alhambra Reserva Esencia Citra IPA;Una rubia reforzada con regusto a limón. No está mal. Saciante.;Bueno;7;2020-12-01
124;Blanche De Charleroi;De trigo con cuerpo y espuma copa danone, asienta en el estomago pero no es agua. Bastante bien.;Bueno;8;2020-12-31
125;Te Deum Amber;Caramelo espumoso.;Aceptable;5;2022-07-01
126;Erdinger Weissbier Dunkel;Negra de trigo. Cunde mucho porque casi lleno dos pintas pero demasiado suave.;Regular;4;2021-01-01
127;Abbaye D'Aulne Blonde;Super espuma, desborda. Amargor cítrico sin persistencia en boca. Fina. Pega pero falta de cuerpo.;Regular;4;2021-01-01
128;Alhambra Baltic Porter;Negra con potente sabor a café y chocolate. 7,8% muy interesante.;Excelente;9;2021-01-01
129;Grevensteiner Original;Huele bien. Sabor suave sin persistencia, turbia, espuma mediocre. Esperaba más cuerpo.;Regular;3;2021-01-01
130;Budweiser Budvar Original;Es la del litigio con Budweiser. Rubia clásica, equilibrada, alegra.;Bueno;7;2021-01-31
131;Trappistes Rochefort 8;Densa. Toque chocolate. No invade el %. Calidad. No pierde fuerza, cada sorbo es como el primero.;Excelente;10;2021-02-07
132;Brewdog Punk IPA;Ok, regusto aceptable a lúpulo. 5,6% que empana. ;Aceptable;6;2022-03-01
133;Camden Pale Ale;Huele a hierba pero no es tan fresca.;Regular;4;2021-02-01
134;Einstök Icelandic Toasted Porter;Petróleo islándes, super negra. Licor de café. Aroma a chocolate.;Excelente;9;2021-02-01
135;Hoegaarden De Verboden Vrucht / Le Fruit Défendu;Caramelo pesado. No noto su 8%...mal;Malo;2;2021-02-01
136;Turia Märzen;Tostada correcta, más cerca de una rubia que de una morena.;Aceptable;6;2021-03-01
137;Weihenstephaner Hefeweissbier;Entra como la seda, sabe a cereal aunque no tiene mucha persistencia en boca.;Aceptable;6;2021-03-01
138;Hertog Jan Tripel;Buen sabor. Atiza.;Bueno;7;2021-03-01
139;OXIT Blonde;Sabor rancio con mucho sedimento…Si no está defectuosa de lo peor que he bebido.;Malo;0;2021-03-01
140;Ginette Bio Lager;Rubia muy muy normalita. ;Regular;4;2021-03-01
141;312 Urban Wheat;0 espuma pero aguanta y me activa 1 hora (Bailén).;Bueno;7;2021-03-01
142;Modelo Especial;Se puede beber pero lleva aditivos e-…;Malo;2;2021-03-01
143;Especialidades 1897 Gran Reserva;No encuentro el trigo. No sé que pinta el azucar ni el jarabe que lleva y encima la hacen en Francia..mal;Malo;0;2021-03-01
144;Hélécine Brune;Caramelo soso. No cansa pero tampoco alegra.;Regular;4;2021-03-01
145;Alhambra Barrica Ron Granadino;De menos a más. Dulce, saciante...oh ánima trascendental,tal vez no sé apreciar el ron. 1 unidad produce minutos de expansión.;Bueno;8;2021-04-01
146;Old Empire IPA;OK. No tomar helada.;Aceptable;5;2021-04-01
147;Alhambra Reserva Roja;Noto los 7,2 y poco más.;Aceptable;5;2021-04-01
148;Ambar IPA;Bátido de césped. Se va rápido. Floja.;Malo;2;2021-04-01
149;Carrefour Sensation Reserva;No lleva mierda y tiene agua de Madrid. Rica.;Bueno;7;2021-04-01
150;Pilsener;Una pizca de gas y nada más. Cerveza aguada.;Malo;1;2021-04-01
151;Hatherwood Ginger Grizzly;Gengibre...dulce y especiada. No parece cerveza.;Regular;3;2021-04-01
152;Riedenburger Hefe-Weizen Hell;Sin mucho sabor aunque algo anima.;Regular;4;2021-05-01
153;Monkey Mr. Pink;Espuma atómica. Se bebe bien.;Bueno;7;2021-05-01
154;NÓS Fox IPA;Ok rica y pega algo.;Bueno;7;2021-05-01
155;Domus Aurea;Demasiado cítrica, ni fu ni fa.;Regular;4;2021-05-01
156;Maisel & Friends IPA;Amarga con aroma a hierba. Bien.;Aceptable;6;2021-05-01
157;Crafted for Lidl - Eureka Lager;Plana.;Malo;2;2021-05-01
158;Crafted for Lidl - Warrior;Aceptable.;Aceptable;5;2021-05-01
159;Guineu Dr. Calypso;Turbia con cuerpo. Aprobado.;Aceptable;5;2021-05-22
160;Tyris IPA;IPA decente.;Aceptable;6;2021-05-01
161;La Socarrada;Club gourmet mis cojones. Muy floja, 0 chispa 0 regusto.;Malo;1;2021-05-01
162;Cerdos Voladores;IPA con cuerpo, bien.;Aceptable;6;2021-06-01
163;Maredsous Brune;Sabor rico pero no noto el 8%.;Aceptable;5;2021-06-01
164;Veltins Pilsener;Otra rubia más.;Aceptable;5;2021-06-01
165;Cobra Premium;Se agarra a la lengua, aceptable.;Aceptable;5;2021-06-01
166;Chérie À La Framboise;Sabor frambresa es un win win pero es una trampa: azúcar, concentrado, etc.;Regular;3;2021-06-01
167;Vedett Extra White;Ni la entiendo ni me gusta. Amargor plano;Malo;1;2021-06-01
168;Lindemans Faro;Vino dulce de Oporto.;Bueno;7;2021-06-01
169;Schöfferhofer Hefeweizen Dunkel;Trigo negro potente, no te la bebes en 0, como otras de trigo.;Bueno;7;2021-06-01
170;Tripel Karmeliet;Mal asunto cuando solo noto el alcohol. Da pereza acabarla. Decepciona.;Regular;3;2021-07-01
171;Abbaye D'Aulne Ambrée;Birra de otoño. Poca ánima, sabor regular, tonos caramelo.;Regular;4;2021-07-01
172;Abbaye D'Aulne Brune;Muy empalagosa. Acabo harto.;Malo;1;2021-07-01
173;Abbaye D'Aulne Cuvée Royale;Ni frio ni calor. Negra mediocre.;Malo;2;2021-07-01
174;New Yorker Fine Lager;Rubia fresca, ligera sin renunciar a la sustancia.;Bueno;7;2021-07-01
175;15&30 IPA;Saborcillo a Jerez, madera...vale. Aprobada.;Aceptable;5;2021-07-01
176;Polar Pilsen;Poco sabor. Fresca seca. Olvidable.;Malo;2;2021-07-01
177;Ginger Beard;Gengibre. Regusto algo picante… No me convencen estas birras. Para mezclar.;Regular;4;2021-08-01
178;The Crafty Brewing Company Irish Pale Ale ;Aceptable. No te harás adicto. No la vomitarás.;Aceptable;5;2021-08-01
179;Primátor Premium;Lager para el veranito.;Bueno;7;2021-08-01
180;Abbaye D'Aulne Premier Cru;Mejor que otras cervezas de la marca.;Aceptable;6;2021-08-01
181;Duvel;Rubia golpeadora.;Bueno;7;2021-08-01
182;Primátor Weizen;Trigo rico y fresco sin ser soso.;Bueno;7;2021-09-01
183;Super Bock Abadia;0 sabor.;Malo;1;2021-09-01
184;1906 Galician Irish Red Ale;Llena, sabe y refresca. Bastante bien.;Bueno;7;2021-09-01
185;Chouffe Blanche;Trigo consistente. No se esfuma.;Bueno;7;2021-10-01
186;Duvel 6.66%;Rica pero demasiado suave, tonos cítricos, espuma de ducha.;Aceptable;6;2021-10-01
187;Kwak;Pega, tomé varias, la 1º me encantó, luego de más a menos. Toque a vino dulce. Caducadas 6m. Vaso…;Bueno;8;2021-10-01
188;Gulden Draak Classic;Roja fuerte ¿record 10,5%? Espumosa e interesante. Alcohol secundario.;Excelente;10;2021-11-01
189;Estrella Damm;Ok, floja pero rica.;Aceptable;6;2021-11-01
190;Desperados Strawberry Margarita;Refresco.;Regular;3;2022-09-01
191;Coors Light;Seca y muy fría. Sin amargor. Cumple.;Aceptable;6;2021-12-01
192;Tap 6: Mein Aventinus;Empalaga y atiza.;Aceptable;6;2021-12-01
193;Weltenburger Kloster Anno 1050;Sin fuerza. No ofrece nada.;Malo;2;2021-12-01
194;Maredsous Blond;Ok.;Aceptable;5;2022-02-01
195;Brewdog Dead Pony Club;Floja, sin gracia.;Malo;2;2022-02-01
196;Brugse Zot Blond;Rica pero plana.;Regular;4;2022-03-01
197;Super Bock Stout;Morena mediocre.;Regular;3;2022-03-01
198;18/70 La Rubia;Psé.;Regular;3;2022-03-01
199;Schöfferhofer Grapefruit Hefeweizen;Fanta de naranja.;Regular;3;2022-04-01
200;Chula IPA;IPA espesa, me gusta.;Bueno;7;2022-04-01
201;Karlsbräu Helles;Trigo rico. Para beber en grandes cantidades.;Bueno;7;2022-04-01
202;Karlsbräu Kellerbier;Ok.;Aceptable;6;2022-04-01
203;Victoria Málaga;Rubia decente.;Aceptable;6;2022-04-01
204;Ambar 10;Se nota el 10%. Amarga.;Bueno;7;2022-05-01
205;Moritz Barcelona;Rubia normalita.;Aceptable;5;2022-05-01
206;Oliba Green Beer;Suave y rara.;Aceptable;5;2022-05-01
207;Slash IPA;Aceptable. Sin sorpresas.;Aceptable;5;2022-05-01
208;Slash Red;Sabor fruta, lambic, rica…pero va dopada (ázucar, colorantes,etc).;Regular;3;2022-05-01
209;La Estrella de Galicia;Rubia clásica, estándar en todo (amargura, espuma, gas, %, etc).;Bueno;7;2022-06-01
210;Estrella Galicia Especial;Equilibrada.;Aceptable;6;2022-07-01
211;Rosita Original;Normalita. Sin pena ni gloria.;Aceptable;5;2022-07-01
212;The One IPA Americana;Miro la etiqueta a ver si está caducada. Sabor extraño, malo.;Malo;0;2022-07-01
213;Moritz Red IPA;Me quedo igual que estaba.;Regular;4;2022-07-01
214;15&30 Pilsner;Cuerpo decente.;Aceptable;6;2022-07-01
215;The Crafty Brewing Company Irish Lager;Normal.;Aceptable;5;2022-08-01
216;Greene King IPA;Hierba rancia.;Malo;1;2022-08-01
217;Zerep Rubia;Correcta, refrescante. Cuerpo.;Aceptable;6;2022-08-01
218;Zerep Tostada;Tostada insípida. Con esto no entrarás en calor.;Malo;1;2022-09-01
219;Bischofshof Hefe-Weissbier Hell;Rica alemana.;Bueno;7;2022-09-01
220;1906 Black Coupage;Negra correcta.;Aceptable;6;2022-09-01
221;Alhambra Tradicional;Rubia conservadora.;Aceptable;5;2022-10-01
222;Brutus The Beer;Plana.;Malo;2;2022-10-01
223;Heineken Silver;Quita la sed y no hincha el estómago. ;Bueno;7;2022-11-01
224;Mc Chouffe;Roja oscura que entra rápido, dame más.;Excelente;9;2022-12-01
225;Estrella de Navidad;No aburre. Saciante. Perdura en boca.;Bueno;7;2022-12-01
226;Peroni Gran Riserva Doppio Malto;Gourmet. Calidad.;Excelente;10;2023-12-01
227;Vikingathor Boris Brew;Caramelo café rico.;Bueno;8;2023-12-01
228;Pólvora Blue;Refrescante con cuerpo, rubia agradable.;Bueno;7;2023-12-01
229;Mascletà;Prometía pero nada especial. Sin espuma, sin gas, regusto infusión...meh.;Malo;2;2023-12-01
230;Ambar Especial;Rubia decente.;Aceptable;6;2023-03-02
231;Schöfferhofer Hefeweizen;Trigo aguado.;Malo;2;2023-03-05
232;König Ludwig Weissbier Naturtrüb;Huele bien, distinta. Trigo firme revoltoso. 5,5 reales. Buena.;Bueno;7;2023-03-30
233;Leffe Blonde;Espumosa y alimenticia. Abre el estómago.;Bueno;7;2023-03-31
234;Leffe Brune;Caramelo con azúcar…;Regular;3;2023-04-01
235;Praga Premium Pils;Ok.;Aceptable;6;2023-02-06
236;El Alcázar;Se deja beber. Honesta;Aceptable;6;2023-05-15
237;Alhambra Lager Singular;De singular nada. Aprobado raspado.;Aceptable;5;2023-06-01
238;Ambar Morena;Irrelevante.;Regular;3;2023-07-19
239;Cerex Pilsen;En la etiqueta pone: mejor cerveza de España de 2015. Ni de coña. Sin matices. No sé a que sabe.;Malo;2;2023-08-02
240;Bernabeu Madrid;Ni fu ni fa.;Aceptable;5;2023-08-08
241;Caletera Tostada;Bonito color. Espuma densa. Gusto agradable.;Bueno;7;2023-08-11
242;San Miguel Eco;Calma un poco la sed y ya. Olvidable.;Regular;4;2023-08-21
243;Tsingtao;Lo que se espera de una rubia normal. Sin experimentos ni cosas raras.;Bueno;7;2023-08-20
244;Monastère Blond;Pan líquido los primeros sorbos pero luego se pierde. De más a menos. Lleva azúcar. Trampa rica.;Bueno;7;2023-08-23
245;IPA4;Fresco amargor.;Bueno;7;2023-08-27
246;Perkins Cerveza Rubia;Tiene ánima. Hincha la barriga. Sabor neutro.;Bueno;7;2023-09-02
247;Desperados Red;Refresco.;Regular;4;2023-09-07
248;Cherry Chouffe;Gominola con cuerpo de cerveza. Bien de espuma y gas. Azucarada.;Bueno;7;2023-09-21
249;Ramblers Weissbier;Trigo bien llevado (casi siempre lo es). Trigo normalito.;Aceptable;5;2023-09-28
250;Ruddles Best;English bitter, sí…amarga.;Regular;4;2023-09-30
251;Obolon Svitle;Falta potencia. Escaso sabor.;Malo;2;2023-10-05
252;Petrus Blond;Entra bien, rápido. Espuma rica. Regular persistencia. Azúcar.;Aceptable;6;2023-10-17
